price,carat,table,cut,color,clarity,size
4268,1.21,58.0,4,1,4,197.09672500000002
505,0.32,57.0,3,3,4,52.39574999999999
2686,0.71,55.0,1,4,5,113.43689
738,0.41,56.0,2,7,3,66.2688
4882,1.02,59.0,5,4,3,168.42997499999998
9057,1.52,57.0,5,5,2,249.95197000000002
3733,1.01,56.0,1,3,4,156.182985
8608,1.52,58.0,5,1,5,245.87514000000002
557,0.31,54.2,5,3,5,50.900449
6741,1.14,56.0,5,4,3,187.963875
1040,0.44,59.0,4,6,3,71.566176
4284,1.02,58.0,4,2,3,176.0616
3101,0.93,57.0,5,2,2,149.24268
14507,1.51,58.0,4,4,5,250.20974000000004
10349,1.65,55.0,5,3,2,270.31492799999995
6006,1.5,63.0,2,4,2,243.64670400000003
1207,0.43,56.0,5,7,5,71.33089
983,0.38,61.0,4,4,4,61.323270000000015
3548,0.85,56.0,5,2,5,139.82176
11078,1.53,60.0,4,7,2,248.972295
11177,1.54,60.0,4,3,4,251.303528
1740,0.71,59.0,4,4,2,113.16272000000002
605,0.3,56.0,3,4,5,49.411362000000004
12932,1.3,56.0,5,4,8,214.409376
574,0.3,59.0,4,4,3,48.634496000000006
2873,1.0,56.0,5,2,2,164.13766500000003
6216,1.0,54.0,4,4,4,167.28234600000002
3568,0.9,56.0,4,7,3,141.804432
7066,1.55,57.0,3,3,3,249.30023999999997
3054,1.01,60.0,4,3,2,162.73579800000002
4969,1.16,58.0,4,4,2,188.087424
743,0.35,53.9,5,3,7,57.078
6801,0.97,57.0,5,3,7,161.32608000000005
5717,1.19,57.0,5,6,2,194.072004
2422,0.7,56.0,3,3,5,112.96383999999999
2553,0.8,54.0,3,3,3,130.059132
14208,2.0,59.0,4,2,2,326.885349
2858,0.71,59.0,3,6,4,113.66929599999999
5292,1.0,58.0,4,5,3,161.832169
1240,0.5,57.0,5,6,2,80.331615
1875,0.51,57.0,5,4,6,83.0592
3861,1.04,59.0,4,4,2,173.115558
2587,0.64,54.0,5,4,6,105.154056
3648,0.8,57.0,5,6,4,132.00551000000002
552,0.3,56.0,5,7,3,49.068488
866,0.38,58.0,4,6,4,61.176544
625,0.31,55.0,5,4,5,51.089670000000005
3830,1.0,64.0,1,3,3,163.471488
3184,0.78,55.0,5,4,4,127.70109000000001
5671,1.0,59.0,3,7,3,163.424436
2399,0.7,63.0,3,3,5,114.72548700000002
1688,0.64,59.0,3,5,3,103.799033
513,0.31,55.6,5,2,5,51.72332
1549,0.52,55.0,5,4,4,85.3664
1002,0.33,57.0,5,6,5,53.67648
878,0.3,57.0,3,3,7,50.058063999999995
3679,1.0,60.0,2,1,3,154.222612
495,0.3,57.0,5,6,1,50.530656
1221,0.47,58.0,4,3,5,75.67734200000001
13839,1.59,56.0,5,3,5,262.333188
5113,1.01,60.0,2,4,3,159.15529600000002
628,0.34,56.0,5,3,3,55.94624
816,0.31,57.0,5,6,6,50.913464000000005
3434,0.74,56.0,5,4,4,121.54778999999998
854,0.33,55.0,5,5,4,53.67648
5455,1.08,54.0,5,2,4,176.48334000000003
2898,0.79,57.0,5,4,3,126.32490000000001
776,0.3,57.0,5,3,6,49.756364
7887,1.33,56.0,5,2,6,215.661248
1008,0.51,55.0,3,3,3,85.98688200000001
1342,0.58,57.0,5,7,2,95.22576000000001
7623,1.22,58.0,5,3,4,198.078384
2440,0.78,60.0,2,3,4,121.00728600000001
11152,1.62,56.0,5,2,5,265.795992
14456,1.65,56.0,5,4,4,275.08635
1975,0.55,56.4,3,5,5,91.4628
9801,1.64,55.0,5,6,3,272.48442
658,0.3,59.0,4,6,4,49.20748
1076,0.41,56.0,5,7,4,68.05572799999999
752,0.3,58.0,4,7,6,48.90905999999999
6121,1.1,60.0,4,4,4,180.096
4401,1.03,57.0,5,2,3,167.06981199999998
416,0.3,58.0,1,1,4,47.976448000000005
4227,1.02,58.0,4,2,3,166.360012
1915,0.56,56.0,4,6,4,91.680336
14976,1.51,57.0,3,5,5,240.478875
4536,1.13,59.0,4,2,3,183.01864
589,0.34,57.0,5,2,3,54.89971200000001
4157,1.16,61.0,4,3,2,191.97485999999998
752,0.38,57.0,3,5,4,64.345028
5105,1.03,60.0,4,4,3,166.040928
3715,0.9,54.0,3,6,2,146.178432
1415,0.5,58.0,3,7,3,80.10915999999999
499,0.3,54.2,5,5,3,50.317525999999994
2787,0.64,56.0,5,7,5,104.84727000000001
2996,0.91,51.0,1,5,2,142.18347
10485,1.24,59.0,4,4,7,208.65124799999998
16329,2.3,57.0,5,2,2,374.76088
603,0.27,56.0,5,6,5,44.195328
3864,1.0,61.0,4,1,6,154.67520000000002
2443,0.71,56.0,5,4,4,116.84157599999999
810,0.36,59.0,4,6,3,58.18651199999999
593,0.31,57.0,5,7,2,50.434272
3988,0.93,56.0,5,3,3,151.752183
652,0.33,61.0,2,7,4,53.333280000000016
9664,1.77,59.0,4,4,2,282.01056
5223,1.06,55.0,5,6,2,172.856124
5226,1.21,57.0,5,4,2,197.4992
826,0.3,55.0,5,6,7,49.66790400000001
6401,1.27,57.0,5,2,4,205.673472
4168,0.92,60.0,3,7,2,150.980625
489,0.31,54.0,5,2,5,51.32484
18561,2.01,60.0,2,3,4,332.95541499999996
14674,1.51,57.0,5,4,5,246.13589
18358,1.83,59.0,3,4,4,302.59728
933,0.38,59.0,4,5,5,60.72661700000001
445,0.23,59.0,4,5,6,38.201058
3610,0.92,55.0,5,2,3,152.680944
12069,1.5,58.0,4,7,3,241.80383499999996
645,0.32,55.0,3,4,5,53.8461
4372,1.0,57.0,5,5,2,163.14436800000001
779,0.31,57.0,3,5,7,50.952974
1350,0.52,64.0,2,5,2,84.89219200000001
14998,2.01,53.9,5,3,2,327.00931199999997
565,0.31,55.0,5,4,6,50.85504000000002
2086,0.77,59.0,3,1,3,129.51338400000003
4537,1.13,59.0,3,3,2,186.9021
589,0.32,55.0,5,7,3,52.444696
16957,2.07,58.0,4,6,3,339.452568
2443,0.71,59.0,4,4,4,116.059392
7275,1.11,58.0,5,5,4,181.080072
